run_id	step	neg_log_prob
two_moons_with_score_1652199016_eef895cf	0	-1.0309773683547974
two_moons_with_score_1652199016_eef895cf	1	-0.8159183263778687
two_moons_with_score_1652199016_eef895cf	2	-1.7167083024978638
two_moons_with_score_1652199016_eef895cf	3	-2.4116058349609375
two_moons_with_score_1652199016_eef895cf	4	-2.770495653152466
two_moons_with_score_1652199016_eef895cf	5	-2.794900417327881
two_moons_with_score_1652199032_5b684f7a	0	1.9691593647003174
two_moons_with_score_1652199032_5b684f7a	1	-1.1989567279815674
two_moons_with_score_1652199032_5b684f7a	2	-0.8713849186897278
two_moons_with_score_1652199032_5b684f7a	3	-2.521095037460327
two_moons_with_score_1652199032_5b684f7a	4	-2.7576799392700195
two_moons_with_score_1652199032_5b684f7a	5	-2.764180898666382
two_moons_with_score_1652199161_83208fac	0	-0.7440999150276184
two_moons_with_score_1652199161_83208fac	1	-1.106295108795166
two_moons_with_score_1652199161_83208fac	2	-1.7872508764266968
two_moons_with_score_1652199161_83208fac	3	-2.5160281658172607
two_moons_with_score_1652199161_83208fac	4	-2.751847505569458
two_moons_with_score_1652199161_83208fac	5	-2.748558521270752
two_moons_with_score_1652199186_84906ecc	0	-1.3104227781295776
two_moons_with_score_1652199186_84906ecc	1	-1.560135841369629
two_moons_with_score_1652199186_84906ecc	2	-1.9193311929702759
two_moons_with_score_1652199186_84906ecc	3	-2.3058438301086426
two_moons_with_score_1652199186_84906ecc	4	-2.722787380218506
two_moons_with_score_1652199186_84906ecc	5	-2.785950183868408
two_moons_with_score_1652199220_22df33d4	0	-0.13798916339874268
two_moons_with_score_1652199220_22df33d4	1	-0.8675552606582642
two_moons_with_score_1652199220_22df33d4	2	-1.2336781024932861
two_moons_with_score_1652199220_22df33d4	3	-2.4840729236602783
two_moons_with_score_1652199220_22df33d4	4	-2.751574993133545
two_moons_with_score_1652199220_22df33d4	5	-2.7341887950897217
two_moons_with_score_1652199237_e849423c	0	-0.6646202206611633
two_moons_with_score_1652199237_e849423c	1	-0.5525548458099365
two_moons_with_score_1652199237_e849423c	2	-1.4340518712997437
two_moons_with_score_1652199237_e849423c	3	-2.4160702228546143
two_moons_with_score_1652199237_e849423c	4	-2.7348084449768066
two_moons_with_score_1652199237_e849423c	5	-2.7708547115325928
two_moons_with_score_1652200844_843ead6f	0	1.0867654085159302
two_moons_with_score_1652200844_843ead6f	1	-1.6594773530960083
two_moons_with_score_1652200844_843ead6f	2	-2.265148878097534
two_moons_with_score_1652200844_843ead6f	3	-2.6818249225616455
two_moons_with_score_1652200844_843ead6f	4	-2.7210545539855957
two_moons_with_score_1652200844_843ead6f	5	-2.7582755088806152
two_moons_with_score_1652200902_c536a36f	0	0.33754798769950867
two_moons_with_score_1652200902_c536a36f	1	-1.7508279085159302
two_moons_with_score_1652200902_c536a36f	2	-2.22031831741333
two_moons_with_score_1652200902_c536a36f	3	-2.6300532817840576
two_moons_with_score_1652200902_c536a36f	4	-2.766099452972412
two_moons_with_score_1652200902_c536a36f	5	-2.7990379333496094
two_moons_with_score_1652200934_a11c4193	0	1.03272545337677
two_moons_with_score_1652200934_a11c4193	1	-1.6532667875289917
two_moons_with_score_1652200934_a11c4193	2	-2.363309383392334
two_moons_with_score_1652200934_a11c4193	3	-2.6592965126037598
two_moons_with_score_1652200934_a11c4193	4	-2.7540059089660645
two_moons_with_score_1652200934_a11c4193	5	-2.714845657348633
two_moons_with_score_1652200967_ecba47aa	0	2.318063497543335
two_moons_with_score_1652200967_ecba47aa	1	-1.2292039394378662
two_moons_with_score_1652200967_ecba47aa	2	-2.460685968399048
two_moons_with_score_1652200967_ecba47aa	3	-2.4847774505615234
two_moons_with_score_1652200967_ecba47aa	4	-2.6783480644226074
two_moons_with_score_1652200967_ecba47aa	5	-2.818045139312744
